id,sku,current_name_ar,current_category_id,current_category_name,current_is_active,has_arabic,has_latin,looks_french_only,looks_mixed_french,looks_truly_unrelated,suggested_action,apply,new_name_ar,new_category_id,deactivate,note
"9d48b9b5-af50-4235-b1d5-7e80a7b98d7e","6111250470506","Le Fer - 330 ml","7d3cde65-79a3-4266-83c7-ad1e6a38eed4","مشروبات غازية","true","false","true","true","false","false","translate_to_ar","","","","",""
"99fd19e0-a2f3-4aba-9af4-944948b2d32f","6111065001872","Le lemon - 2 l","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"72094c4f-0bf6-4d13-a077-6e07b4259755","6111250476812","Le Lemon lemonade","7d3cde65-79a3-4266-83c7-ad1e6a38eed4","مشروبات غازية","true","false","true","true","false","false","translate_to_ar","","","","",""
"ac9110ae-cda6-48bc-a41c-4e5847be5dce","6111126004798","Le mini de chergui - 250 g","f9660e7f-fd78-4e14-8c32-c8440e659c3d","مشتقات الحليب","true","false","true","true","false","false","translate_to_ar","","","","",""
"ebd94106-0f55-4d34-bd65-eddb20c1a05d","6111265800046","LE NATURE - Albane - 110g","f9660e7f-fd78-4e14-8c32-c8440e659c3d","مشتقات الحليب","true","false","true","true","false","false","translate_to_ar","","","","",""
"e9a2d317-c11e-44b1-ae8d-96d26e84c4a4","6111250470483","le porta - 330 ml","fbc12429-e514-4745-a907-d0ef94e6d6aa","عصير","true","false","true","true","false","false","translate_to_ar","","","","",""
"b8f2f98b-4334-44d5-a34b-1feb836409f4","6111250476485","Le porta orange","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"d41e8396-af12-4c64-a068-4806a4c8a654","6111070000280","Le soleil - Thon àla sauce tomate - 80g","afe52f4a-50c2-4b97-8caa-ebf9217cae0a","مأكولات بحرية","true","false","true","true","false","false","translate_to_ar","","","","",""
"228164e6-a657-4aeb-bd01-e5fb44345a26","5901583411113","Le soleil Bio Café - 100 g","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"28cc840a-6e9c-4f23-8837-89c1c01e866e","6111250472876","Le Tropical","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"96542363-a8bc-461b-8856-2d8a12c72bf7","6111250472074","Le'cola","7d3cde65-79a3-4266-83c7-ad1e6a38eed4","مشروبات غازية","true","false","true","true","false","false","translate_to_ar","","","","",""
"0279d7bc-b53e-4e66-a0c5-f1f7b2e1b7d2","6111242041479","Leader chips","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"b3a64fee-e4d6-4e0b-9b59-74f1ac387dd2","6111242041905","Leader chips","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"9df62e95-d720-4450-a2d8-bed5ccf4256d","6111242043305","Leader chips","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"865a4425-e477-416c-a152-197e18aad105","6111242041929","Leader chips","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"70744bff-dadb-4657-a016-eb22df6d16f2","6111242040984","Leader Chips","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"205c1710-426a-4453-ac8b-8b4d0775ea7a","6111242043343","Leader Chips","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"bf880969-5050-4551-b17f-8553a2172365","6111242044074","Leader Chips - 13 g","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"b5b85466-766b-4c5d-acee-b0e706f0b404","6111242041783","Leader chips - 20/01/2024","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"f5493866-03e4-4c73-9bed-d3aabca2df94","6111242041455","Leader Chips - Patatas fritas - 100 g","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"cacee7fb-38cb-4737-a8ef-4457eaf28a57","6111242043688","leader chips - spicy atomix - 30g","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"83212712-109c-4ff7-ada9-224aa76844ac","6111242040786","Leader chips CHEESE OIGNON - 85g","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"a12b0ffd-f30a-4aef-8ce7-e78e4febf2fb","6111242040847","Leader Chips saveur Sel","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"0b9ddc31-5274-4bae-95fb-76d22424b9ff","6111242040779","Leader Chips, Leader Food - Leader Chips Chili","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"5b8723bf-aa43-4636-a7e4-1aa0e4572ade","6111242042322","Leader Chips,Leader food - Leader chips - 12g x 24","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"fc53cf50-1f8f-4eb2-957d-722f1a3fa326","6111242042735","Leader food","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"442d6e4e-9286-41a2-9f14-f2d99f2022f6","6111242043268","leader food - Fakiat - 45g","5aa6a060-3adb-45a6-bf6f-26a9b68ef46c","حبوب","true","false","true","true","false","false","translate_to_ar","","","","",""
"c4c0eacc-efdd-4fb7-bc53-0d205ec21c8c","6111242040991","leader food - Fakiat Barbeque - 18g","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"c31d0206-9234-44d8-9f9a-dda261b59aa0","6111242040809","Leader food - Leader Chips Paprika - 90g","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"9cae5bfc-4125-40bc-913d-7fded9974639","6111242040960","Leader food - Leader chips sel","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"79fc71a2-914e-480e-a3b5-7135dac66504","6111242043329","Leader Food - LEADER CHIPS XTREM ORIGINAL - 85g","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"3937d79a-f7f9-4097-a8f5-913861b5df03","6111242042919","leader food - Nachos","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"7771cc26-d93e-4d71-ba16-5f478458bea1","6111242042315","LeaderFood - FAKIAT - 125g","5aa6a060-3adb-45a6-bf6f-26a9b68ef46c","حبوب","true","false","true","true","false","false","translate_to_ar","","","","",""
"50380a0d-d5a5-4603-be03-497631f8af14","6111242042599","Leaderfood - Fakiat - 3","5aa6a060-3adb-45a6-bf6f-26a9b68ef46c","حبوب","true","false","true","true","false","false","translate_to_ar","","","","",""
"980cb028-f8c6-4ff4-80e3-6673734fd5be","6111242040793","Leaderfood - Leader Chips salée","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"3eade90a-c17e-4332-9acf-2302d72ad43e","6111242040830","Leaderfood - Leaser chips fromage+oignons - 11","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"9d135221-7cb6-48be-b3a6-7fbc51bd9c3a","6111242043008","leaderfood - X trem sour cream - 35","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"4d91f2a2-7ecb-40e1-9f16-89d7965610b9","6111259180062","leana - betterave","","","false","false","true","true","false","false","translate_to_ar","","","","",""
"67d0f514-6a12-4210-b65e-76b1af025a10","6111242042933","Learder chips","3709aa87-c19d-417d-9148-a6a19827850e","وجبات خفيفة","true","false","true","true","false","false","translate_to_ar","","","","",""
"b09d105b-6a5e-4474-ae88-c65bc9c6ebb3","4006000005249","Lebello","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"972982c6-039a-4870-946b-2324690e5ed4","6111243590242","Leben","f9660e7f-fd78-4e14-8c32-c8440e659c3d","مشتقات الحليب","true","false","true","true","false","false","translate_to_ar","","","","",""
"ecc4984a-f330-41c8-8678-1a8ac659618f","6111242880351","Leben - 450 g","f9660e7f-fd78-4e14-8c32-c8440e659c3d","مشتقات الحليب","true","false","true","true","false","false","translate_to_ar","","","","",""
"f4d97b8d-1226-4a87-9f73-e9e47b5b4ec7","6111242100022","Leben - Leben JAOUDA - 450 g","f9660e7f-fd78-4e14-8c32-c8440e659c3d","مشتقات الحليب","true","false","true","true","false","false","translate_to_ar","","","","",""
"a3b209d2-a9a2-4eff-bda7-bc166996a182","8437015711706","Leche condensada","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"b1046391-f34c-4b9a-80cb-0bfe4da5cff9","8425197712024","Leche Y Almendras - Maruja - 150 g","bf1d6fd7-bbd2-414a-a10e-f5f4b3b8c9d5","شوكولاتة","true","false","true","true","false","false","translate_to_ar","","","","",""
"255af715-471e-461f-aaaa-341317bf8ac8","6111037000506","Ledda - Margarine patissière - 250g","42e40334-9e3c-4b9f-8fce-07becc534ea9","مصبرات","true","false","true","true","false","false","translate_to_ar","","","","",""
"75c51c35-067c-4b71-9a60-0031f1f6dc49","6111245344478","Legoi grand coeur vanille","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"34921d4a-ab8d-4d20-a4c0-74ed6ea1c61f","4017100115776","Leibniz - 200g","1aa35c38-f2e0-4ab3-8c53-c2fa7af0c5e9","بسكويت","true","false","true","true","false","false","translate_to_ar","","","","",""
"cdb558cd-9afb-4178-b79e-9ad86f7a0f4b","4017100107412","Leibniz - Bahlsen Zoo Bears & Bees - 100غ","1aa35c38-f2e0-4ab3-8c53-c2fa7af0c5e9","بسكويت","true","true","true","false","false","false","","","","","",""
"73474204-569a-4c92-9fb1-acaa3c354779","4017100360268","Leibniz milk cream promotion - 190غ","","","true","true","true","false","false","false","","","","","",""
"40a80717-3fda-42d0-b84b-b7ed224de69c","4017100125362","Leibniz zoo - 100g","1aa35c38-f2e0-4ab3-8c53-c2fa7af0c5e9","بسكويت","true","false","true","true","false","false","translate_to_ar","","","","",""
"9ac5f8bd-9ba3-4a85-95c9-ac799795936e","4017100291005","Leibniz, Bahlsen - CHOCO LEIBNIZ EDELHERB - 125g","1aa35c38-f2e0-4ab3-8c53-c2fa7af0c5e9","بسكويت","true","false","true","true","false","false","translate_to_ar","","","","",""
"0ef7050b-ab24-47aa-97b4-69676e6f3238","4017100248214","Leibniz,Bahlsen - PiCK UP - 28g","1aa35c38-f2e0-4ab3-8c53-c2fa7af0c5e9","بسكويت","true","false","true","true","false","false","translate_to_ar","","","","",""
"079a13e6-f141-4741-afe8-88959e569979","4017100107214","Leibniz,Bahlsen,ไลบ์นีซ - Zoo Jungle Biscuits with Cocoa - 100 g","1aa35c38-f2e0-4ab3-8c53-c2fa7af0c5e9","بسكويت","true","false","true","true","false","false","translate_to_ar","","","","",""
"0bea9b6a-acc2-4a99-b61c-6c361ea3e1db","4022679016959","Leidlife mag","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"6f696080-df08-4c48-8a23-58258d492b6d","6111195023812","Leka - gaufrette fourrée chocolat & cacahuètes","1aa35c38-f2e0-4ab3-8c53-c2fa7af0c5e9","بسكويت","true","false","true","true","false","false","translate_to_ar","","","","",""
"278de3a2-12de-4e0f-a886-70ed2d2d0714","6111195016937","Leka c - Creme a tartiner - 1kg","42e40334-9e3c-4b9f-8fce-07becc534ea9","مصبرات","true","false","true","true","false","false","translate_to_ar","","","","",""
"c823fa92-256d-4e46-ad79-f5afc25e10d8","6111195018108","Leka cigar","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"34605bf2-71ce-4daf-ad76-37b594eb235b","6111195018818","leka Cream","42e40334-9e3c-4b9f-8fce-07becc534ea9","مصبرات","true","false","true","true","false","false","translate_to_ar","","","","",""
"503b2874-dc76-40b8-9ff1-c4e1349c1be6","6111195023423","Leka Cream","eadc65ee-4f80-4118-89a4-22989a31169b","مجمدات","true","false","true","true","false","false","translate_to_ar","","","","",""
"a8df440f-1889-47f3-850d-2a16fbee89fc","6111195017309","Leka crem","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"5c66933f-3a11-46e4-8744-2c48c33d1408","6111195021054","Lekacigar","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"286d8b1c-3577-4c9c-9855-dd722548664d","6111249430283","Lemar - Fabella madalena - 50g","fa429fb3-e598-4cfb-a8c8-4767056db36e","كعك","true","false","true","true","false","false","translate_to_ar","","","","",""
"b1ca934d-24b7-4fa3-b9b9-6aac2bb53428","7622201430610","Lemon mint flavor - 14 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"55d58b89-c012-4819-8fef-1bb1de988311","6111254875475","Lemonade","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"bfe867fa-a4cd-4200-bc11-16a89d36a338","4004019073068","lemonade - prime - 500ml","fbc12429-e514-4745-a907-d0ef94e6d6aa","عصير","true","false","true","true","false","false","translate_to_ar","","","","",""
"f6bed122-a5be-45da-8413-085706670eee","6111250470544","lentille","fbc12429-e514-4745-a907-d0ef94e6d6aa","عصير","true","false","true","true","false","false","translate_to_ar","","","","",""
"c1e1bb39-ca7d-4042-8694-e43331a0a5a2","3174061039129","Léonce Blanc - Confiture de myrtille 70% - 320 g","b69ec790-f00e-4831-97f3-d201698c2dc6","مربى","true","false","true","true","false","false","translate_to_ar","","","","",""
"5c19ce29-1b82-4ce9-bcef-df55b5a5376d","6111255522859","Leone vanille","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"569c74ac-b313-481c-ad79-c140dc983268","3067140041567","Leroux - Chicorée Cacao - 100g","fbc12429-e514-4745-a907-d0ef94e6d6aa","عصير","true","false","true","true","false","false","translate_to_ar","","","","",""
"1ffd2e98-f8e1-47e0-a8a3-f9004b6f7dc7","3067140041598","Leroux - Chicorée goût vanille","fbc12429-e514-4745-a907-d0ef94e6d6aa","عصير","true","false","true","true","false","false","translate_to_ar","","","","",""
"2675ba28-d5ba-4220-9796-3c03518d7ac6","3067140011003","Leroux - Chicorée graines - 100 g","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"6e49f1d6-d973-4101-85c8-704e564b67ac","3067140013113","Leroux - Chicorée Nature - 100 g","fbc12429-e514-4745-a907-d0ef94e6d6aa","عصير","true","false","true","true","false","false","translate_to_ar","","","","",""
"2c311242-faf4-4ab9-9e87-c36b3d73e195","3067140041536","Leroux - Chicorée soluble goût Caramel","","","true","false","true","true","false","false","translate_to_ar","","","","",""
"5731b237-bfc8-4cb2-bd56-a5e1c0b80882","3067140013120","Leroux - Chicorée soluble nature - 200 g","fbc12429-e514-4745-a907-d0ef94e6d6aa","عصير","true","false","true","true","false","false","translate_to_ar","","","","",""
"3d5c6e50-733c-4a8e-89d1-ef3175658e3a","3360100090101","Les Anis de Flavigny - Boite ovale anis - 50 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"e3a4be11-dd15-4715-a6fe-ef424c5cf040","3360100520103","Les Anis de Flavigny - Boite ovale citron - 50 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"5e240559-34a7-48b5-88b4-40e12f6d1487","3360100150102","Les Anis De Flavigny - Boite ovale fleur d'oranger - 50 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"5e7f96be-093d-4a22-8fd9-c90ae6f636f3","3360100130104","Les Anis de flavigny - Boite ovale rose - 50 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"874ae308-3da1-4465-b958-a486c3f5d2d5","3360100100107","Les anis de flavigny - Boite ovale violette - 50 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"b6f2aa47-bcf1-4b00-9224-84b032686d5b","3360101870108","Les Anis De Flavigny - Etui 18g petits citron - 18 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"a932eb5b-eb8c-4288-822c-dbd89d6752cd","3360102200010","Les Anis de Flavigny - Etui 40g anis bio - 40 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"3199ef07-b0ca-48f1-8759-470c1dd470b5","3360100170100","Les Anis de Flavigny - Sac 1kg anis - 1000 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"36913ae7-3e25-409c-b259-2b25891c5032","3360100180109","Les Anis de Flavigny - Sac 500g anis - 500 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"d0f87ed8-47c9-4dc6-a4a7-c752c415e39f","3360100440104","les Anis de Flavigny - Sacs 250g violette - 250 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"d524f7a5-3791-4b6a-bc09-eabfc4604eb3","3360100080102","Les Anis de Flavigny Menthe - 50 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
"db91ad59-227a-4760-8512-16fff945abea","3360102150100","Les anis de Flavigny, Les mousquetaires - Boite ovale cassis - 50 g","4f833acd-c996-4060-8c47-5a28963a22cb","حلويات","true","false","true","true","false","false","translate_to_ar","","","","",""
